,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
47554,11242754,43917,NIFTY2461322800CE,NIFTY,0.0,2024-06-13,22800.0,0.05,25,CE,NFO-OPT,NFO
47679,11205122,43770,NIFTY2461321900PE,NIFTY,0.0,2024-06-13,21900.0,0.05,25,PE,NFO-OPT,NFO
47680,11198466,43744,NIFTY2461321850CE,NIFTY,0.0,2024-06-13,21850.0,0.05,25,CE,NFO-OPT,NFO
47681,11201538,43756,NIFTY2461321850PE,NIFTY,0.0,2024-06-13,21850.0,0.05,25,PE,NFO-OPT,NFO
47682,11196674,43737,NIFTY2461321800CE,NIFTY,0.0,2024-06-13,21800.0,0.05,25,CE,NFO-OPT,NFO
47683,11196930,43738,NIFTY2461321800PE,NIFTY,0.0,2024-06-13,21800.0,0.05,25,PE,NFO-OPT,NFO
47684,11196162,43735,NIFTY2461321750CE,NIFTY,0.0,2024-06-13,21750.0,0.05,25,CE,NFO-OPT,NFO
47685,11196418,43736,NIFTY2461321750PE,NIFTY,0.0,2024-06-13,21750.0,0.05,25,PE,NFO-OPT,NFO
47686,11195394,43732,NIFTY2461321700CE,NIFTY,0.0,2024-06-13,21700.0,0.05,25,CE,NFO-OPT,NFO
47687,11195650,43733,NIFTY2461321700PE,NIFTY,0.0,2024-06-13,21700.0,0.05,25,PE,NFO-OPT,NFO
47678,11203330,43763,NIFTY2461321900CE,NIFTY,0.0,2024-06-13,21900.0,0.05,25,CE,NFO-OPT,NFO
47688,11194882,43730,NIFTY2461321650CE,NIFTY,0.0,2024-06-13,21650.0,0.05,25,CE,NFO-OPT,NFO
47690,11185922,43695,NIFTY2461321600CE,NIFTY,0.0,2024-06-13,21600.0,0.05,25,CE,NFO-OPT,NFO
47691,11194626,43729,NIFTY2461321600PE,NIFTY,0.0,2024-06-13,21600.0,0.05,25,PE,NFO-OPT,NFO
47692,11185410,43693,NIFTY2461321550CE,NIFTY,0.0,2024-06-13,21550.0,0.05,25,CE,NFO-OPT,NFO
47693,11185666,43694,NIFTY2461321550PE,NIFTY,0.0,2024-06-13,21550.0,0.05,25,PE,NFO-OPT,NFO
47694,11183106,43684,NIFTY2461321500CE,NIFTY,0.0,2024-06-13,21500.0,0.05,25,CE,NFO-OPT,NFO
47695,11185154,43692,NIFTY2461321500PE,NIFTY,0.0,2024-06-13,21500.0,0.05,25,PE,NFO-OPT,NFO
47696,11181314,43677,NIFTY2461321450CE,NIFTY,0.0,2024-06-13,21450.0,0.05,25,CE,NFO-OPT,NFO
47697,11182850,43683,NIFTY2461321450PE,NIFTY,0.0,2024-06-13,21450.0,0.05,25,PE,NFO-OPT,NFO
47698,11180802,43675,NIFTY2461321400CE,NIFTY,0.0,2024-06-13,21400.0,0.05,25,CE,NFO-OPT,NFO
47689,11195138,43731,NIFTY2461321650PE,NIFTY,0.0,2024-06-13,21650.0,0.05,25,PE,NFO-OPT,NFO
47677,11210498,43791,NIFTY2461321950PE,NIFTY,0.0,2024-06-13,21950.0,0.05,25,PE,NFO-OPT,NFO
47676,11205378,43771,NIFTY2461321950CE,NIFTY,0.0,2024-06-13,21950.0,0.05,25,CE,NFO-OPT,NFO
47675,11211010,43793,NIFTY2461322000PE,NIFTY,0.0,2024-06-13,22000.0,0.05,25,PE,NFO-OPT,NFO
47654,11259138,43981,NIFTY2461323300PE,NIFTY,0.0,2024-06-13,23300.0,0.05,25,PE,NFO-OPT,NFO
47655,11258370,43978,NIFTY2461323250CE,NIFTY,0.0,2024-06-13,23250.0,0.05,25,CE,NFO-OPT,NFO
47656,11258626,43979,NIFTY2461323250PE,NIFTY,0.0,2024-06-13,23250.0,0.05,25,PE,NFO-OPT,NFO
47657,11257602,43975,NIFTY2461323200CE,NIFTY,0.0,2024-06-13,23200.0,0.05,25,CE,NFO-OPT,NFO
47658,11234050,43883,NIFTY2461322400CE,NIFTY,0.0,2024-06-13,22400.0,0.05,25,CE,NFO-OPT,NFO
47659,11234562,43885,NIFTY2461322400PE,NIFTY,0.0,2024-06-13,22400.0,0.05,25,PE,NFO-OPT,NFO
47660,11230466,43869,NIFTY2461322350CE,NIFTY,0.0,2024-06-13,22350.0,0.05,25,CE,NFO-OPT,NFO
47661,11230722,43870,NIFTY2461322350PE,NIFTY,0.0,2024-06-13,22350.0,0.05,25,PE,NFO-OPT,NFO
