,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
46251,9485826,37054,NIFTY2460622550CE,NIFTY,0.0,2024-06-06,22550.0,0.05,25,CE,NFO-OPT,NFO
46375,9465346,36974,NIFTY2460621900CE,NIFTY,0.0,2024-06-06,21900.0,0.05,25,CE,NFO-OPT,NFO
46376,9465602,36975,NIFTY2460621900PE,NIFTY,0.0,2024-06-06,21900.0,0.05,25,PE,NFO-OPT,NFO
46377,9464834,36972,NIFTY2460621850CE,NIFTY,0.0,2024-06-06,21850.0,0.05,25,CE,NFO-OPT,NFO
46378,9465090,36973,NIFTY2460621850PE,NIFTY,0.0,2024-06-06,21850.0,0.05,25,PE,NFO-OPT,NFO
46379,9464066,36969,NIFTY2460621800CE,NIFTY,0.0,2024-06-06,21800.0,0.05,25,CE,NFO-OPT,NFO
46380,9464578,36971,NIFTY2460621800PE,NIFTY,0.0,2024-06-06,21800.0,0.05,25,PE,NFO-OPT,NFO
46381,9463298,36966,NIFTY2460621750CE,NIFTY,0.0,2024-06-06,21750.0,0.05,25,CE,NFO-OPT,NFO
46382,9463554,36967,NIFTY2460621750PE,NIFTY,0.0,2024-06-06,21750.0,0.05,25,PE,NFO-OPT,NFO
46383,9460994,36957,NIFTY2460621700CE,NIFTY,0.0,2024-06-06,21700.0,0.05,25,CE,NFO-OPT,NFO
46374,9467906,36984,NIFTY2460621950PE,NIFTY,0.0,2024-06-06,21950.0,0.05,25,PE,NFO-OPT,NFO
46384,9461250,36958,NIFTY2460621700PE,NIFTY,0.0,2024-06-06,21700.0,0.05,25,PE,NFO-OPT,NFO
46386,9460738,36956,NIFTY2460621650PE,NIFTY,0.0,2024-06-06,21650.0,0.05,25,PE,NFO-OPT,NFO
46387,9459970,36953,NIFTY2460621600CE,NIFTY,0.0,2024-06-06,21600.0,0.05,25,CE,NFO-OPT,NFO
46388,9460226,36954,NIFTY2460621600PE,NIFTY,0.0,2024-06-06,21600.0,0.05,25,PE,NFO-OPT,NFO
46389,9459458,36951,NIFTY2460621550CE,NIFTY,0.0,2024-06-06,21550.0,0.05,25,CE,NFO-OPT,NFO
46390,9459714,36952,NIFTY2460621550PE,NIFTY,0.0,2024-06-06,21550.0,0.05,25,PE,NFO-OPT,NFO
46391,9458434,36947,NIFTY2460621500CE,NIFTY,0.0,2024-06-06,21500.0,0.05,25,CE,NFO-OPT,NFO
46392,9458690,36948,NIFTY2460621500PE,NIFTY,0.0,2024-06-06,21500.0,0.05,25,PE,NFO-OPT,NFO
46393,9456130,36938,NIFTY2460621450CE,NIFTY,0.0,2024-06-06,21450.0,0.05,25,CE,NFO-OPT,NFO
46394,9456386,36939,NIFTY2460621450PE,NIFTY,0.0,2024-06-06,21450.0,0.05,25,PE,NFO-OPT,NFO
46385,9460482,36955,NIFTY2460621650CE,NIFTY,0.0,2024-06-06,21650.0,0.05,25,CE,NFO-OPT,NFO
46373,9465858,36976,NIFTY2460621950CE,NIFTY,0.0,2024-06-06,21950.0,0.05,25,CE,NFO-OPT,NFO
46372,9469954,36992,NIFTY2460622000PE,NIFTY,0.0,2024-06-06,22000.0,0.05,25,PE,NFO-OPT,NFO
46371,9468418,36986,NIFTY2460622000CE,NIFTY,0.0,2024-06-06,22000.0,0.05,25,CE,NFO-OPT,NFO
46350,9508610,37143,NIFTY2460623300CE,NIFTY,0.0,2024-06-06,23300.0,0.05,25,CE,NFO-OPT,NFO
46351,9508866,37144,NIFTY2460623300PE,NIFTY,0.0,2024-06-06,23300.0,0.05,25,PE,NFO-OPT,NFO
46352,9506050,37133,NIFTY2460623250CE,NIFTY,0.0,2024-06-06,23250.0,0.05,25,CE,NFO-OPT,NFO
46353,9506306,37134,NIFTY2460623250PE,NIFTY,0.0,2024-06-06,23250.0,0.05,25,PE,NFO-OPT,NFO
46354,9504514,37127,NIFTY2460623200CE,NIFTY,0.0,2024-06-06,23200.0,0.05,25,CE,NFO-OPT,NFO
46355,9504770,37128,NIFTY2460623200PE,NIFTY,0.0,2024-06-06,23200.0,0.05,25,PE,NFO-OPT,NFO
46356,9502978,37121,NIFTY2460623150CE,NIFTY,0.0,2024-06-06,23150.0,0.05,25,CE,NFO-OPT,NFO
46357,9503490,37123,NIFTY2460623150PE,NIFTY,0.0,2024-06-06,23150.0,0.05,25,PE,NFO-OPT,NFO
46358,9500674,37112,NIFTY2460623100CE,NIFTY,0.0,2024-06-06,23100.0,0.05,25,CE,NFO-OPT,NFO
46359,9502722,37120,NIFTY2460623100PE,NIFTY,0.0,2024-06-06,23100.0,0.05,25,PE,NFO-OPT,NFO
46360,9498882,37105,NIFTY2460623050CE,NIFTY,0.0,2024-06-06,23050.0,0.05,25,CE,NFO-OPT,NFO
46361,9499138,37106,NIFTY2460623050PE,NIFTY,0.0,2024-06-06,23050.0,0.05,25,PE,NFO-OPT,NFO
46362,9498370,37103,NIFTY2460623000CE,NIFTY,0.0,2024-06-06,23000.0,0.05,25,CE,NFO-OPT,NFO
46363,9498626,37104,NIFTY2460623000PE,NIFTY,0.0,2024-06-06,23000.0,0.05,25,PE,NFO-OPT,NFO
46364,9497858,37101,NIFTY2460622950CE,NIFTY,0.0,2024-06-06,22950.0,0.05,25,CE,NFO-OPT,NFO
46365,9473026,37004,NIFTY2460622150CE,NIFTY,0.0,2024-06-06,22150.0,0.05,25,CE,NFO-OPT,NFO
46366,9473282,37005,NIFTY2460622150PE,NIFTY,0.0,2024-06-06,22150.0,0.05,25,PE,NFO-OPT,NFO
46367,9472514,37002,NIFTY2460622100CE,NIFTY,0.0,2024-06-06,22100.0,0.05,25,CE,NFO-OPT,NFO
46368,9472770,37003,NIFTY2460622100PE,NIFTY,0.0,2024-06-06,22100.0,0.05,25,PE,NFO-OPT,NFO
46369,9472002,37000,NIFTY2460622050CE,NIFTY,0.0,2024-06-06,22050.0,0.05,25,CE,NFO-OPT,NFO
46370,9472258,37001,NIFTY2460622050PE,NIFTY,0.0,2024-06-06,22050.0,0.05,25,PE,NFO-OPT,NFO
46395,9455618,36936,NIFTY2460621400CE,NIFTY,0.0,2024-06-06,21400.0,0.05,25,CE,NFO-OPT,NFO
46349,9510402,37150,NIFTY2460623350PE,NIFTY,0.0,2024-06-06,23350.0,0.05,25,PE,NFO-OPT,NFO
46397,9454594,36932,NIFTY2460621350CE,NIFTY,0.0,2024-06-06,21350.0,0.05,25,CE,NFO-OPT,NFO
46399,9453826,36929,NIFTY2460621300CE,NIFTY,0.0,2024-06-06,21300.0,0.05,25,CE,NFO-OPT,NFO
46425,9437698,36866,NIFTY2460620650CE,NIFTY,0.0,2024-06-06,20650.0,0.05,25,CE,NFO-OPT,NFO
46426,9438210,36868,NIFTY2460620650PE,NIFTY,0.0,2024-06-06,20650.0,0.05,25,PE,NFO-OPT,NFO
46427,9437186,36864,NIFTY2460620600CE,NIFTY,0.0,2024-06-06,20600.0,0.05,25,CE,NFO-OPT,NFO
46428,9437442,36865,NIFTY2460620600PE,NIFTY,0.0,2024-06-06,20600.0,0.05,25,PE,NFO-OPT,NFO
46429,9436418,36861,NIFTY2460620550CE,NIFTY,0.0,2024-06-06,20550.0,0.05,25,CE,NFO-OPT,NFO
46430,9436674,36862,NIFTY2460620550PE,NIFTY,0.0,2024-06-06,20550.0,0.05,25,PE,NFO-OPT,NFO
46431,9435906,36859,NIFTY2460620500CE,NIFTY,0.0,2024-06-06,20500.0,0.05,25,CE,NFO-OPT,NFO
46432,9436162,36860,NIFTY2460620500PE,NIFTY,0.0,2024-06-06,20500.0,0.05,25,PE,NFO-OPT,NFO
46433,9433858,36851,NIFTY2460620450CE,NIFTY,0.0,2024-06-06,20450.0,0.05,25,CE,NFO-OPT,NFO
46424,9439746,36874,NIFTY2460620700PE,NIFTY,0.0,2024-06-06,20700.0,0.05,25,PE,NFO-OPT,NFO
46434,9435138,36856,NIFTY2460620450PE,NIFTY,0.0,2024-06-06,20450.0,0.05,25,PE,NFO-OPT,NFO
46436,9277698,36241,NIFTY2460620400PE,NIFTY,0.0,2024-06-06,20400.0,0.05,25,PE,NFO-OPT,NFO
46437,9274370,36228,NIFTY2460620350CE,NIFTY,0.0,2024-06-06,20350.0,0.05,25,CE,NFO-OPT,NFO
46438,9274626,36229,NIFTY2460620350PE,NIFTY,0.0,2024-06-06,20350.0,0.05,25,PE,NFO-OPT,NFO
46439,9183746,35874,NIFTY2460620300CE,NIFTY,0.0,2024-06-06,20300.0,0.05,25,CE,NFO-OPT,NFO
46440,9184002,35875,NIFTY2460620300PE,NIFTY,0.0,2024-06-06,20300.0,0.05,25,PE,NFO-OPT,NFO
46441,9182210,35868,NIFTY2460620250CE,NIFTY,0.0,2024-06-06,20250.0,0.05,25,CE,NFO-OPT,NFO
46442,9182466,35869,NIFTY2460620250PE,NIFTY,0.0,2024-06-06,20250.0,0.05,25,PE,NFO-OPT,NFO
46443,9181698,35866,NIFTY2460620200CE,NIFTY,0.0,2024-06-06,20200.0,0.05,25,CE,NFO-OPT,NFO
46444,9181954,35867,NIFTY2460620200PE,NIFTY,0.0,2024-06-06,20200.0,0.05,25,PE,NFO-OPT,NFO
46435,9276930,36238,NIFTY2460620400CE,NIFTY,0.0,2024-06-06,20400.0,0.05,25,CE,NFO-OPT,NFO
46423,9438466,36869,NIFTY2460620700CE,NIFTY,0.0,2024-06-06,20700.0,0.05,25,CE,NFO-OPT,NFO
46422,9440258,36876,NIFTY2460620750PE,NIFTY,0.0,2024-06-06,20750.0,0.05,25,PE,NFO-OPT,NFO
46421,9440002,36875,NIFTY2460620750CE,NIFTY,0.0,2024-06-06,20750.0,0.05,25,CE,NFO-OPT,NFO
46400,9454338,36931,NIFTY2460621300PE,NIFTY,0.0,2024-06-06,21300.0,0.05,25,PE,NFO-OPT,NFO
46401,9453314,36927,NIFTY2460621250CE,NIFTY,0.0,2024-06-06,21250.0,0.05,25,CE,NFO-OPT,NFO
46402,9453570,36928,NIFTY2460621250PE,NIFTY,0.0,2024-06-06,21250.0,0.05,25,PE,NFO-OPT,NFO
46403,9452802,36925,NIFTY2460621200CE,NIFTY,0.0,2024-06-06,21200.0,0.05,25,CE,NFO-OPT,NFO
46404,9453058,36926,NIFTY2460621200PE,NIFTY,0.0,2024-06-06,21200.0,0.05,25,PE,NFO-OPT,NFO
46405,9449986,36914,NIFTY2460621150CE,NIFTY,0.0,2024-06-06,21150.0,0.05,25,CE,NFO-OPT,NFO
46406,9452546,36924,NIFTY2460621150PE,NIFTY,0.0,2024-06-06,21150.0,0.05,25,PE,NFO-OPT,NFO
46407,9446914,36902,NIFTY2460621100CE,NIFTY,0.0,2024-06-06,21100.0,0.05,25,CE,NFO-OPT,NFO
46408,9449730,36913,NIFTY2460621100PE,NIFTY,0.0,2024-06-06,21100.0,0.05,25,PE,NFO-OPT,NFO
46409,9446402,36900,NIFTY2460621050CE,NIFTY,0.0,2024-06-06,21050.0,0.05,25,CE,NFO-OPT,NFO
46410,9446658,36901,NIFTY2460621050PE,NIFTY,0.0,2024-06-06,21050.0,0.05,25,PE,NFO-OPT,NFO
46411,9445890,36898,NIFTY2460621000CE,NIFTY,0.0,2024-06-06,21000.0,0.05,25,CE,NFO-OPT,NFO
46412,9446146,36899,NIFTY2460621000PE,NIFTY,0.0,2024-06-06,21000.0,0.05,25,PE,NFO-OPT,NFO
46413,9444354,36892,NIFTY2460620950CE,NIFTY,0.0,2024-06-06,20950.0,0.05,25,CE,NFO-OPT,NFO
46414,9445634,36897,NIFTY2460620950PE,NIFTY,0.0,2024-06-06,20950.0,0.05,25,PE,NFO-OPT,NFO
46415,9441538,36881,NIFTY2460620900CE,NIFTY,0.0,2024-06-06,20900.0,0.05,25,CE,NFO-OPT,NFO
46416,9444098,36891,NIFTY2460620900PE,NIFTY,0.0,2024-06-06,20900.0,0.05,25,PE,NFO-OPT,NFO
46417,9441026,36879,NIFTY2460620850CE,NIFTY,0.0,2024-06-06,20850.0,0.05,25,CE,NFO-OPT,NFO
46418,9441282,36880,NIFTY2460620850PE,NIFTY,0.0,2024-06-06,20850.0,0.05,25,PE,NFO-OPT,NFO
46419,9440514,36877,NIFTY2460620800CE,NIFTY,0.0,2024-06-06,20800.0,0.05,25,CE,NFO-OPT,NFO
46420,9440770,36878,NIFTY2460620800PE,NIFTY,0.0,2024-06-06,20800.0,0.05,25,PE,NFO-OPT,NFO
46398,9455362,36935,NIFTY2460621350PE,NIFTY,0.0,2024-06-06,21350.0,0.05,25,PE,NFO-OPT,NFO
46348,9509122,37145,NIFTY2460623350CE,NIFTY,0.0,2024-06-06,23350.0,0.05,25,CE,NFO-OPT,NFO
46396,9455874,36937,NIFTY2460621400PE,NIFTY,0.0,2024-06-06,21400.0,0.05,25,PE,NFO-OPT,NFO
46346,9510658,37151,NIFTY2460623400CE,NIFTY,0.0,2024-06-06,23400.0,0.05,25,CE,NFO-OPT,NFO
46277,9473538,37006,NIFTY2460622200CE,NIFTY,0.0,2024-06-06,22200.0,0.05,25,CE,NFO-OPT,NFO
46278,9474306,37009,NIFTY2460622200PE,NIFTY,0.0,2024-06-06,22200.0,0.05,25,PE,NFO-OPT,NFO
46279,9497346,37099,NIFTY2460622900CE,NIFTY,0.0,2024-06-06,22900.0,0.05,25,CE,NFO-OPT,NFO
46280,9497602,37100,NIFTY2460622900PE,NIFTY,0.0,2024-06-06,22900.0,0.05,25,PE,NFO-OPT,NFO
46281,9498114,37102,NIFTY2460622950PE,NIFTY,0.0,2024-06-06,22950.0,0.05,25,PE,NFO-OPT,NFO
46282,9586946,37449,NIFTY2460625000CE,NIFTY,0.0,2024-06-06,25000.0,0.05,25,CE,NFO-OPT,NFO
46283,9605890,37523,NIFTY2460625000PE,NIFTY,0.0,2024-06-06,25000.0,0.05,25,PE,NFO-OPT,NFO
46284,9585666,37444,NIFTY2460624950CE,NIFTY,0.0,2024-06-06,24950.0,0.05,25,CE,NFO-OPT,NFO
46285,9585922,37445,NIFTY2460624950PE,NIFTY,0.0,2024-06-06,24950.0,0.05,25,PE,NFO-OPT,NFO
46275,9493250,37083,NIFTY2460622850CE,NIFTY,0.0,2024-06-06,22850.0,0.05,25,CE,NFO-OPT,NFO
46286,9549058,37301,NIFTY2460624900CE,NIFTY,0.0,2024-06-06,24900.0,0.05,25,CE,NFO-OPT,NFO
46288,9548546,37299,NIFTY2460624850CE,NIFTY,0.0,2024-06-06,24850.0,0.05,25,CE,NFO-OPT,NFO
46289,9548802,37300,NIFTY2460624850PE,NIFTY,0.0,2024-06-06,24850.0,0.05,25,PE,NFO-OPT,NFO
46290,9547010,37293,NIFTY2460624800CE,NIFTY,0.0,2024-06-06,24800.0,0.05,25,CE,NFO-OPT,NFO
46291,9548290,37298,NIFTY2460624800PE,NIFTY,0.0,2024-06-06,24800.0,0.05,25,PE,NFO-OPT,NFO
46292,9546498,37291,NIFTY2460624750CE,NIFTY,0.0,2024-06-06,24750.0,0.05,25,CE,NFO-OPT,NFO
46293,9546754,37292,NIFTY2460624750PE,NIFTY,0.0,2024-06-06,24750.0,0.05,25,PE,NFO-OPT,NFO
